object,threshold_m,observed_exceedance,first_sample_seconds,previous_sample_seconds,first_sample_error_m,tested_through_seconds
G05,10.0,True,300.0,,19.64377355192377,604800.0
G05,100.0,True,16800.0,16500.0,101.03204211970005,604800.0
G05,1000.0,True,183600.0,183300.0,1000.7594999305618,604800.0
G05,10000.0,False,,,,604800.0
C03,10.0,True,31200.0,30900.0,10.114622888752757,604800.0
C03,100.0,True,214500.0,214200.0,100.17621105013426,604800.0
C03,1000.0,False,,,,604800.0
C03,10000.0,False,,,,604800.0
C06,10.0,True,31200.0,30900.0,10.068851509835165,604800.0
C06,100.0,True,136200.0,135900.0,100.33916564247842,604800.0
C06,1000.0,True,553200.0,552900.0,1001.3934372706375,604800.0
C06,10000.0,False,,,,604800.0
CHANDRA,10.0,True,72248.81603312492,71948.81603336334,11.57417184045001,604748.8158562183
CHANDRA,100.0,True,109148.81602096558,108848.81602096558,100.03033754066354,604748.8158562183
CHANDRA,1000.0,True,260048.81597042084,259748.81597042084,1003.8918478353901,604748.8158562183
CHANDRA,10000.0,True,302648.8159561157,302348.81595635414,19399.30731946993,604748.8158562183
